date,#0,#1,#2,#3,#4,#5,#6,#7,#8,#9
2020-1-1,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-2,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-3,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-4,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-5,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-6,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-7,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-8,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-9,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-10,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-11,2429129807113296,76561198005985428,76561198825880947,2985005531524930,76561198373858287,76561198111059178,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-12,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198120204584
2020-1-13,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198319594601
2020-1-14,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198319594601
2020-1-15,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198319594601,76561198282478873
2020-1-16,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198319594601,76561198282478873
2020-1-17,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198319594601,76561198282478873
2020-1-18,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198319594601,76561198282478873
2020-1-19,2429129807113296,76561198005985428,2985005531524930,76561198825880947,76561198111059178,76561198373858287,76561198051018941,76561198153055189,76561198319594601,76561198282478873
2020-1-20,2429129807113296,76561198005985428,2985005531524930,76561198111059178,76561198825880947,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198319594601
2020-1-21,2429129807113296,76561198005985428,2985005531524930,76561198111059178,76561198825880947,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198319594601
2020-1-22,2429129807113296,76561198005985428,2985005531524930,76561198111059178,76561198825880947,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198319594601
2020-1-23,2429129807113296,76561198005985428,2985005531524930,76561198111059178,76561198825880947,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198319594601
2020-1-24,2429129807113296,76561198005985428,2985005531524930,76561198111059178,76561198825880947,76561198373858287,76561198051018941,76561198153055189,76561198282478873,76561198319594601
